Unnamed: 0,negskew,duvol,Date,year,month,country,GDP,corruption,governmentEffectiveness,politicalStability,regulatoryQuality,ruleOfLaw,voiceAccountability,negskew_annual,duvol_annual
1/1/2000,0.407032021,0.164937374,1/1/2000,2000,0,China,3689.9672549999996,-0.22,-0.108963028,-0.20893399399999998,-0.34,-0.53,-1.384080529,0.604328441,0.456510524
2/1/2000,-0.3650893120000001,-0.03383897,2/1/2000,2000,1,China,3689.9672549999996,-0.22,-0.108963028,-0.20893399399999998,-0.34,-0.53,-1.384080529,0.604328441,0.456510524
3/1/2000,0.61514613,0.152100613,3/1/2000,2000,2,China,3689.9672549999996,-0.22,-0.108963028,-0.20893399399999998,-0.34,-0.53,-1.384080529,0.604328441,0.456510524
4/1/2000,-2.153999324,-0.655184487,4/1/2000,2000,3,China,3689.9672549999996,-0.22,-0.108963028,-0.20893399399999998,-0.34,-0.53,-1.384080529,0.604328441,0.456510524
5/1/2000,-0.377451264,-0.220922137,5/1/2000,2000,4,China,3689.9672549999996,-0.22,-0.108963028,-0.20893399399999998,-0.34,-0.53,-1.384080529,0.604328441,0.456510524
6/1/2000,-0.738951164,-0.176595855,6/1/2000,2000,5,China,3689.9672549999996,-0.22,-0.108963028,-0.20893399399999998,-0.34,-0.53,-1.384080529,0.604328441,0.456510524
7/1/2000,0.109268882,0.10781496199999999,7/1/2000,2000,6,China,3689.9672549999996,-0.22,-0.108963028,-0.20893399399999998,-0.34,-0.53,-1.384080529,0.604328441,0.456510524
8/1/2000,0.962424675,0.096112393,8/1/2000,2000,7,China,3689.9672549999996,-0.22,-0.108963028,-0.20893399399999998,-0.34,-0.53,-1.384080529,0.604328441,0.456510524
9/1/2000,0.00525363,-0.094152002,9/1/2000,2000,8,China,3689.9672549999996,-0.22,-0.108963028,-0.20893399399999998,-0.34,-0.53,-1.384080529,0.604328441,0.456510524
10/1/2000,-0.134739099,-0.149725421,10/1/2000,2000,9,China,3689.9672549999996,-0.22,-0.108963028,-0.20893399399999998,-0.34,-0.53,-1.384080529,0.604328441,0.456510524
11/1/2000,0.849496558,0.11663216,11/1/2000,2000,10,China,3689.9672549999996,-0.22,-0.108963028,-0.20893399399999998,-0.34,-0.53,-1.384080529,0.604328441,0.456510524
12/1/2000,-1.092398369,-0.364704961,12/1/2000,2000,11,China,3689.9672549999996,-0.22,-0.108963028,-0.20893399399999998,-0.34,-0.53,-1.384080529,0.604328441,0.456510524
1/1/2001,-0.12261104199999999,0.266630256,1/1/2001,2001,12,China,3968.7738630000003,,,,,,,-0.004816595999999999,0.078507054
2/1/2001,0.39995352799999995,0.227237301,2/1/2001,2001,13,China,3968.7738630000003,,,,,,,-0.004816595999999999,0.078507054
3/1/2001,1.4396415130000002,0.582927071,3/1/2001,2001,14,China,3968.7738630000003,,,,,,,-0.004816595999999999,0.078507054
4/1/2001,0.182546674,0.198899295,4/1/2001,2001,15,China,3968.7738630000003,,,,,,,-0.004816595999999999,0.078507054
5/1/2001,-0.987776496,-0.17344599800000002,5/1/2001,2001,16,China,3968.7738630000003,,,,,,,-0.004816595999999999,0.078507054
6/1/2001,-0.07198804,0.11321393099999999,6/1/2001,2001,17,China,3968.7738630000003,,,,,,,-0.004816595999999999,0.078507054
7/1/2001,1.403484715,0.208762437,7/1/2001,2001,18,China,3968.7738630000003,,,,,,,-0.004816595999999999,0.078507054
8/1/2001,1.6755615019999999,0.549733159,8/1/2001,2001,19,China,3968.7738630000003,,,,,,,-0.004816595999999999,0.078507054
9/1/2001,0.954597328,0.232223476,9/1/2001,2001,20,China,3968.7738630000003,,,,,,,-0.004816595999999999,0.078507054
10/1/2001,-0.306588233,-0.272007183,10/1/2001,2001,21,China,3968.7738630000003,,,,,,,-0.004816595999999999,0.078507054
11/1/2001,-0.21008596899999998,-0.116224201,11/1/2001,2001,22,China,3968.7738630000003,,,,,,,-0.004816595999999999,0.078507054
12/1/2001,0.866872447,0.30859676399999997,12/1/2001,2001,23,China,3968.7738630000003,,,,,,,-0.004816595999999999,0.078507054
1/1/2002,0.130958433,0.041382088,1/1/2002,2002,24,China,4302.226871,-0.52,-0.060270559,-0.327094465,-0.51,-0.5,-1.594193101,0.931747065,0.320016382
2/1/2002,0.030979949,-0.012802738999999999,2/1/2002,2002,25,China,4302.226871,-0.52,-0.060270559,-0.327094465,-0.51,-0.5,-1.594193101,0.931747065,0.320016382
3/1/2002,0.261290403,0.019008568,3/1/2002,2002,26,China,4302.226871,-0.52,-0.060270559,-0.327094465,-0.51,-0.5,-1.594193101,0.931747065,0.320016382
4/1/2002,-1.272702573,-0.23318344600000002,4/1/2002,2002,27,China,4302.226871,-0.52,-0.060270559,-0.327094465,-0.51,-0.5,-1.594193101,0.931747065,0.320016382
5/1/2002,-0.59128085,-0.225938179,5/1/2002,2002,28,China,4302.226871,-0.52,-0.060270559,-0.327094465,-0.51,-0.5,-1.594193101,0.931747065,0.320016382
6/1/2002,0.670986808,0.157163629,6/1/2002,2002,29,China,4302.226871,-0.52,-0.060270559,-0.327094465,-0.51,-0.5,-1.594193101,0.931747065,0.320016382
7/1/2002,-0.4417047670000001,0.144509967,7/1/2002,2002,30,China,4302.226871,-0.52,-0.060270559,-0.327094465,-0.51,-0.5,-1.594193101,0.931747065,0.320016382
8/1/2002,0.380533556,-0.04419914900000002,8/1/2002,2002,31,China,4302.226871,-0.52,-0.060270559,-0.327094465,-0.51,-0.5,-1.594193101,0.931747065,0.320016382
9/1/2002,-0.545668633,-0.242798281,9/1/2002,2002,32,China,4302.226871,-0.52,-0.060270559,-0.327094465,-0.51,-0.5,-1.594193101,0.931747065,0.320016382
10/1/2002,-0.18622024399999998,-0.070253205,10/1/2002,2002,33,China,4302.226871,-0.52,-0.060270559,-0.327094465,-0.51,-0.5,-1.594193101,0.931747065,0.320016382
11/1/2002,0.024114411000000002,-0.08343442200000001,11/1/2002,2002,34,China,4302.226871,-0.52,-0.060270559,-0.327094465,-0.51,-0.5,-1.594193101,0.931747065,0.320016382
12/1/2002,0.41708696700000003,0.165720888,12/1/2002,2002,35,China,4302.226871,-0.52,-0.060270559,-0.327094465,-0.51,-0.5,-1.594193101,0.931747065,0.320016382
1/1/2003,-1.5415582280000002,-0.462269727,1/1/2003,2003,36,China,4704.5868,-0.36,-0.082087658,-0.563666165,-0.33,-0.53,-1.512429118,-0.230332132,-0.136146353
2/1/2003,0.135325878,0.025272028,2/1/2003,2003,37,China,4704.5868,-0.36,-0.082087658,-0.563666165,-0.33,-0.53,-1.512429118,-0.230332132,-0.136146353
3/1/2003,0.846776291,-0.007156789,3/1/2003,2003,38,China,4704.5868,-0.36,-0.082087658,-0.563666165,-0.33,-0.53,-1.512429118,-0.230332132,-0.136146353
4/1/2003,1.472266391,0.544795389,4/1/2003,2003,39,China,4704.5868,-0.36,-0.082087658,-0.563666165,-0.33,-0.53,-1.512429118,-0.230332132,-0.136146353
5/1/2003,-1.4496816609999998,-0.493466211,5/1/2003,2003,40,China,4704.5868,-0.36,-0.082087658,-0.563666165,-0.33,-0.53,-1.512429118,-0.230332132,-0.136146353
6/1/2003,-1.357872917,-0.4602317,6/1/2003,2003,41,China,4704.5868,-0.36,-0.082087658,-0.563666165,-0.33,-0.53,-1.512429118,-0.230332132,-0.136146353
7/1/2003,-0.499095886,-0.162912114,7/1/2003,2003,42,China,4704.5868,-0.36,-0.082087658,-0.563666165,-0.33,-0.53,-1.512429118,-0.230332132,-0.136146353
8/1/2003,-0.689717585,-0.282989724,8/1/2003,2003,43,China,4704.5868,-0.36,-0.082087658,-0.563666165,-0.33,-0.53,-1.512429118,-0.230332132,-0.136146353
9/1/2003,0.18812504600000002,0.185442145,9/1/2003,2003,44,China,4704.5868,-0.36,-0.082087658,-0.563666165,-0.33,-0.53,-1.512429118,-0.230332132,-0.136146353
10/1/2003,0.973433397,0.4461850000000001,10/1/2003,2003,45,China,4704.5868,-0.36,-0.082087658,-0.563666165,-0.33,-0.53,-1.512429118,-0.230332132,-0.136146353
